feature_id,subsystem,feature_name,user_story,expected_behavior,entry_point,inputs,outputs,code_ref,test_status,test_notes,fix_applied,retest_status,retest_notes
FE-001,frontend,App Routing & Dark Mode Shell,"As a user, I want the app to load with dark mode and proper routing so that I can navigate between all simulation experiences seamlessly.","The App component wraps everything in a dark-themed div, sets up QueryClientProvider, TooltipProvider, Toaster, Sonner toasts, PreviewModeBanner, and BrowserRouter. Routes: '/' → Index (ant colony), '",Route '/' (and all routes via BrowserRouter),URL path in browser address bar,Rendered page component matching the route,frontend/src/App.tsx:15-35,PASS,Routing works. All routes accessible. Dark mode applied.,,,
FE-002,frontend,Preview Mode Banner,"As a user viewing the public preview deployment, I want to see a banner indicating I'm in preview mode so that I know backend execution is disabled.","When IS_PREVIEW_MODE is true (VITE_FRONTEND_MODE === 'preview'), a yellow banner appears at the top displaying: 'Antelligence preview mode', explanation that frontend is for monitoring only, badges fo",PreviewModeBanner component (rendered globally in App),"Environment variables VITE_FRONTEND_MODE, VITE_PREVIEW_HOSTNAME, VITE_BUILD_LABEL, VITE_GIT_SHA",Amber-colored banner with build info badges,frontend/src/components/PreviewModeBanner.tsx:4-30,PASS,"PreviewModeBanner rendered in App but IS_PREVIEW_MODE=false in local dev, so banner not visible.",,,
FE-003,frontend,Intro Page - Landing Screen,"As a new user, I want a landing page with navigation buttons so that I can choose which simulation experience to enter.","Index page initially shows IntroPage with a full-screen background image. Displays 'Antelligence' title in large font. Three buttons: 'Ant Colony Simulation' (navigates to colony sim), 'Tumor Nanobot ",Route '/' → Index → showIntro=true → IntroPage,Button clicks or Enter key press,Navigation to selected simulation page or enters ant colony simulation,"frontend/src/components/IntroPage.tsx:12-213, frontend/src/pages/Index.tsx:55,399-402",PASS,Intro page loads and displays correctly. All 3 simulation buttons work.,,,
FE-004,frontend,Intro Page - Enter Ant Colony Simulation,"As a user, I want to click a button or press Enter to enter the ant colony simulation so that I can start configuring and running simulations.","Clicking 'Ant Colony Simulation' button calls handleEnter which sets isVisible=false (shows loading overlay with spinning ant), then after 500ms calls onEnter() which sets showIntro=false in Index, re",IntroPage 'Ant Colony Simulation' button,Click or Enter keypress,Transition from intro page to ant colony simulation dashboard,"frontend/src/components/IntroPage.tsx:16-21,32-41,64-69",PASS,Ant colony simulation ran successfully with Rule-Based agents.,,,
FE-005,frontend,Intro Page - Navigate to Tumor Nanobot Simulation,"As a researcher, I want to navigate directly to the tumor nanobot simulation from the intro page so that I can explore medical nanobot scenarios.",Clicking 'Tumor Nanobot Simulation' button calls handleTumorSimulation which navigates to '/tumor' route.,IntroPage 'Tumor Nanobot Simulation' button,Click,Browser navigates to /tumor route,"frontend/src/components/IntroPage.tsx:23-25,71-78",PASS,Tumor simulation loaded 200 steps with heatmap visualization.,,,
FE-006,frontend,Intro Page - Navigate to Tumor Hunt v2,"As a researcher, I want to navigate to the Tumor Hunt v2 simulation from the intro page so that I can explore dynamic wave-based tumor cell hunting.",Clicking '🧬 Tumor Hunt v2' button calls handleTumorHunt which navigates to '/tumor-hunt' route.,IntroPage '🧬 Tumor Hunt v2' button,Click,Browser navigates to /tumor-hunt route,"frontend/src/components/IntroPage.tsx:27-29,79-86",PASS,"Tumor Hunt v2 ran successfully. 110 steps, 34/34 killed.",,,
FE-007,frontend,Habitat Parameters Configuration,"As a user, I want to configure the grid dimensions, food count, and colony size so that I can customize the simulation environment.","In the SimulationSidebar, the 'Habitat Parameters' collapsible section contains four sliders: Territory Width (10-50, step 1), Territory Height (10-50, step 1), Food Resources (5-100, step 5), Colony ",Route '/' → Index → SimulationSidebar → Habitat Parameters section,"Slider adjustments for grid_width, grid_height, n_food, n_ants",Updated config values reflected in sidebar labels,frontend/src/components/SimulationSidebar.tsx:84-155,PASS,Habitat Parameters panel exists in sidebar. Grid width/height configurable.,,,
FE-008,frontend,Agent Configuration,"As a user, I want to select the agent type, AI model, and prompt style so that I can control how ants make decisions.","In the 'Agent Configuration' collapsible section: Agent Type dropdown (LLM-Powered or Rule-Based), AI Model dropdown (10 options: GPT-4o, GPT-4o Mini, Llama 3.3 70B, Llama 3.1 405B, Llama 3.1 70B, Gem",Route '/' → Index → SimulationSidebar → Agent Configuration section,"Dropdown selections for agent_type, selected_model, prompt_style",Updated config values,frontend/src/components/SimulationSidebar.tsx:158-228,PASS,Agent Configuration panel works. Changed from LLM-Powered to Rule-Based successfully.,,,
FE-009,frontend,Queen Configuration,"As a user, I want to enable/disable the Queen ant and choose between heuristic or LLM-powered queen so that I can test coordination oversight.","In the 'Queen Configuration' collapsible section: 'Enable Queen' switch toggles use_queen. When enabled, a second 'LLM Queen' switch appears to toggle use_llm_queen. Default: use_queen=true, use_llm_q",Route '/' → Index → SimulationSidebar → Queen Configuration section,Switch toggles for use_queen and use_llm_queen,Updated config values,frontend/src/components/SimulationSidebar.tsx:230-263,PASS,"Queen comparison ran. Results: 15 vs 15, +0.0%.",,,
FE-010,frontend,Predator Settings Configuration,"As a user, I want to enable predators and configure their behavior so that I can add evolutionary pressure to the ant colony.","In the 'Predator Settings' collapsible section: 'Enable Predators' switch toggles enable_predators. When enabled, shows: Number of Predators slider (1-10, step 1), Predator Agent Type dropdown (LLM-Po",Route '/' → Index → SimulationSidebar → Predator Settings section,"Switch for enable_predators, slider for n_predators, dropdown for predator_type, slider for fear_deposit",Updated config values and dynamic behavior description,frontend/src/components/SimulationSidebar.tsx:265-349,PASS,Predator Settings panel exists in sidebar.,,,
